exec_time,script_exec_time,package_energy,e_cores,st_cores,ht_cores
41.35755681991577,45.02129244804382,2101.333496,0,0,1
20.908948183059692,23.112058639526367,1695.723389,0,0,2
14.83641767501831,18.373302221298218,1727.536072,0,0,3
11.368365287780762,13.52269721031189,1569.787048,0,0,4
9.497054815292358,11.649405002593994,1676.279114,0,0,5
8.179179430007935,10.301387786865234,1583.093445,0,0,6
7.408439636230469,9.524731636047363,1563.336365,0,0,7
6.82039213180542,10.473418474197388,1562.733215,0,0,8
82.30806374549866,84.55790519714355,2324.451477,0,1,0
27.267141103744507,31.551275968551636,1928.556885,0,1,1
17.543033361434937,19.726194858551025,1651.058533,0,1,2
13.090283632278442,15.26863431930542,1647.85083,0,1,3
10.465059995651245,14.12606430053711,1668.844482,0,1,4
8.856143236160278,10.971616744995117,1617.789307,0,1,5
8.012622594833374,10.173225402832031,1631.125305,0,1,6
7.15630841255188,9.283596992492676,1523.244446,0,1,7
41.46043157577515,43.6532199382782,1813.720825,0,2,0
21.45476746559143,25.181344270706177,1756.863281,0,2,1
14.803455114364624,16.994415283203125,1649.532349,0,2,2
11.329535961151123,13.452845811843872,1627.726868,0,2,3
9.5748872756958,11.71997356414795,1701.173889,0,2,4
8.287731885910034,11.866471529006958,1674.968201,0,2,5
7.547388315200806,9.65718150138855,1574.179565,0,2,6
19.208274841308594,21.38031506538391,1644.461121,0,3,0
17.978504180908203,20.17069149017334,1681.280518,0,3,1
12.806792497634888,16.424221992492676,1719.240784,0,3,2
10.477118730545044,12.613592863082886,1682.732788,0,3,3
8.929481267929077,11.082198143005371,1664.647461,0,3,4
7.943155527114868,10.113507747650146,1598.018616,0,3,5
16.036022424697876,18.21487784385681,1610.25647,0,4,0
14.204762697219849,17.79482889175415,1800.599854,0,4,1
11.42214035987854,13.572521448135376,1681.597717,0,4,2
9.529682159423828,11.667469263076782,1712.051819,0,4,3
8.380008459091187,10.516989946365356,1675.761047,0,4,4
13.130443811416626,15.278476476669312,1602.001587,0,5,0
12.390518426895142,15.932374715805054,1753.067139,0,5,1
10.283210515975952,12.393650770187378,1710.995911,0,5,2
8.970221281051636,11.108187198638916,1755.175842,0,5,3
11.344725608825684,13.491205215454102,1630.484436,0,6,0
11.564799547195435,13.760201454162598,1805.288696,0,6,1
9.56391978263855,13.249245405197144,1811.212158,0,6,2
10.10675048828125,12.234214544296265,1645.43219,0,7,0
10.247385263442993,12.374739646911621,1780.885376,0,7,1
9.919167280197144,12.043882846832275,1731.538757,0,8,0
142.65505933761597,145.33598518371582,3385.407288,1,0,0
35.79230713844299,41.84529972076416,2176.435608,1,0,1
22.214102506637573,24.400418758392334,1701.500061,1,0,2
16.189107179641724,19.97014808654785,1652.164429,1,0,3
12.411808252334595,14.567681789398193,1614.383484,1,0,4
10.285358905792236,12.482433080673218,1647.271545,1,0,5
8.915977001190186,11.047794342041016,1711.357788,1,0,6
8.213988780975342,10.388619661331177,1758.512268,1,0,7
7.655599355697632,11.302778244018555,1746.114502,1,0,8
46.495471239089966,48.75935983657837,2204.674683,1,1,0
25.607049465179443,29.336527347564697,1778.810852,1,1,1
17.377225875854492,19.557174921035767,1639.534912,1,1,2
13.338211059570312,15.524338245391846,1687.900208,1,1,3
10.574601888656616,14.194100141525269,1697.841309,1,1,4
9.260468482971191,11.356838464736938,1759.787292,1,1,5
8.060178756713867,10.19616174697876,1662.268982,1,1,6
7.30887246131897,9.50394320487976,1600.420349,1,1,7
32.16710376739502,34.3411021232605,1852.241577,1,2,0
20.334545135498047,24.041348457336426,1711.510559,1,2,1
14.717407941818237,16.895257234573364,1704.325073,1,2,2
11.428879261016846,13.546249628067017,1653.092834,1,2,3
9.764849662780762,11.950693368911743,1772.220581,1,2,4
8.40100646018982,12.062982082366943,1715.767456,1,2,5
7.578081369400024,9.727362871170044,1610.784668,1,2,6
24.169613361358643,26.356548309326172,1706.779602,1,3,0
16.32013726234436,18.509741067886353,1678.398865,1,3,1
12.658238649368286,16.276493549346924,1712.159607,1,3,2
10.424932718276978,12.58577823638916,1787.154419,1,3,3
8.925346374511719,11.046765804290771,1717.394409,1,3,4
8.091597557067871,10.223843336105347,1684.015808,1,3,5
19.611778736114502,21.786965370178223,1636.927429,1,4,0
13.534913778305054,17.16958475112915,1729.735535,1,4,1
11.038523197174072,13.17867136001587,1690.310547,1,4,2
9.320701599121094,11.446846961975098,1746.510376,1,4,3
8.27495527267456,10.424900531768799,1692.546204,1,4,4
15.702781677246094,17.83847188949585,1724.906128,1,5,0
12.083091974258423,15.777110576629639,1779.444519,1,5,1
10.152772426605225,12.3168466091156,1817.440125,1,5,2
8.768162727355957,10.908231973648071,1755.537415,1,5,3
13.344673156738281,15.469458818435669,1711.820557,1,6,0
10.66955852508545,12.813576698303223,1730.804932,1,6,1
9.211057186126709,12.842162609100342,1846.17865,1,6,2
11.956747055053711,14.07540225982666,1775.310608,1,7,0
9.701018571853638,11.822475671768188,1785.116394,1,7,1
10.50626516342163,12.701305150985718,1794.575195,1,8,0
53.25472354888916,55.86675834655762,2300.471558,2,0,0
28.90208077430725,32.6055006980896,1846.917969,2,0,1
19.508352994918823,21.696553468704224,1650.774231,2,0,2
14.906440734863281,17.139277935028076,1660.087585,2,0,3
11.60021185874939,15.314207077026367,1679.524231,2,0,4
9.899974584579468,12.062511920928955,1785.105774,2,0,5
8.629476547241211,10.775367259979248,1721.708191,2,0,6
7.859231948852539,9.958821296691895,1703.12677,2,0,7
8.019690990447998,10.160998582839966,1776.059387,2,0,8
36.14383506774902,38.369380235672,1949.036804,2,1,0
22.558900594711304,26.230507135391235,1810.692932,2,1,1
16.257863998413086,18.444118976593018,1692.06665,2,1,2
12.643570899963379,14.817147016525269,1650.245728,2,1,3
10.550138235092163,12.688077926635742,1687.186584,2,1,4
9.171799182891846,12.769879579544067,1808.855103,2,1,5
8.300239086151123,10.435612678527832,1734.448792,2,1,6
8.011027812957764,10.132053852081299,1736.148743,2,1,7
26.920745849609375,29.14579701423645,1768.496948,2,2,0
17.981600046157837,21.770944595336914,1778.373291,2,2,1
13.68215012550354,15.892400026321411,1731.758728,2,2,2
11.011555671691895,13.149832963943481,1688.285583,2,2,3
9.367327213287354,11.4671630859375,1734.744507,2,2,4
8.398694276809692,12.003294706344604,1772.03894,2,2,5
7.6345789432525635,9.75461483001709,1657.604248,2,2,6
21.494868755340576,23.700701236724854,1671.786987,2,3,0
15.010671854019165,17.209192752838135,1730.738098,2,3,1
11.841394424438477,15.600630044937134,1733.982849,2,3,2
10.167593955993652,12.293067693710327,1803.992188,2,3,3
8.744882345199585,10.89218521118164,1730.905945,2,3,4
7.874504804611206,10.004191637039185,1668.790955,2,3,5
16.91305947303772,19.126813173294067,1677.30658,2,4,0
13.020142316818237,16.5964572429657,1756.081543,2,4,1
10.6071035861969,12.728526592254639,1719.210205,2,4,2
9.195905923843384,11.331104278564453,1762.199585,2,4,3
8.224342346191406,10.43364930152893,1724.000977,2,4,4
14.063735485076904,16.216369152069092,1709.108337,2,5,0
11.440516233444214,15.148173570632935,1843.190308,2,5,1
9.649447917938232,11.812637329101562,1810.20282,2,5,2
8.582517147064209,10.712738752365112,1761.44519,2,5,3
12.440691232681274,14.64369511604309,1754.880127,2,6,0
10.186925888061523,12.343823194503784,1767.594116,2,6,1
9.000483751296997,12.639920234680176,1863.882568,2,6,2
10.801379680633545,12.92110013961792,1775.208435,2,7,0
9.256849527359009,11.383260011672974,1814.804688,2,7,1
9.939514875411987,12.109150171279907,1876.007507,2,8,0
41.48826718330383,44.07537531852722,2047.48584,3,0,0
24.183858394622803,27.87947726249695,1756.026001,3,0,1
17.532353401184082,19.733320474624634,1613.807007,3,0,2
13.200273275375366,15.413339376449585,1620.263977,3,0,3
10.910163402557373,14.607773065567017,1737.125732,3,0,4
9.413803100585938,11.545770168304443,1705.769043,3,0,5
8.517844438552856,10.668445348739624,1813.910278,3,0,6
8.183058500289917,10.307173013687134,1724.349426,3,0,7
8.18406081199646,10.312671184539795,1758.074036,3,0,8
29.091722011566162,31.29581046104431,1812.577942,3,1,0
19.24854040145874,22.912425994873047,1709.796936,3,1,1
14.79719066619873,16.992762804031372,1706.937012,3,1,2
