mean_times,median_times,max_times,min_times,mean_energies,median_energies,max_energies,min_energies,avg_script_exec_time,e_cores,p_s_cores,p_h_cores
39.9057658791542,38.73838567733765,41.46713972091675,38.66412711143494,2123.7925261999994,2120.121643,2213.15564,2023.593201,42.986842250823976,0,0,1
20.905511105060576,20.915645122528076,20.97015643119812,20.81647038459778,1756.0671691,1759.6195985,1820.678162,1711.182739,23.595911693572997,0,0,2
14.66433390378952,14.647596716880798,14.859024047851562,14.538179636001587,1667.9999358500002,1655.2863459999999,1753.548584,1633.315002,17.182791209220888,0,0,3
11.393685221672058,11.38044822216034,11.538360118865967,11.30874752998352,1610.40650025,1596.6741944999999,1659.141846,1578.910217,13.836350619792938,0,0,4
9.455776977539063,9.40424931049347,9.652123928070068,9.317365646362305,1647.50030825,1631.6111449999999,1738.643799,1619.282654,11.871081030368805,0,0,5
8.255369639396667,8.247130274772644,8.3803870677948,8.19900894165039,1577.7963195999998,1566.1394344999999,1660.559021,1545.166626,10.607071018218994,0,0,6
7.464446473121643,7.437451958656311,7.724691390991211,7.381173610687256,1556.15807795,1543.366821,1628.496277,1524.472046,9.798799121379853,0,0,7
6.913218605518341,6.8972169160842896,7.1247265338897705,6.84253191947937,1491.404544,1481.385925,1537.288269,1467.949951,9.25103338956833,0,0,8
82.32266403436661,82.31203889846802,82.46456694602966,82.29837989807129,2353.0430359,2344.203308,2496.584106,2256.798584,87.13127695322036,0,1,0
27.333965754508974,27.330644369125366,27.444814920425415,27.2645103931427,1899.3594756999996,1868.6842649999999,2017.506775,1829.765625,30.27799196243286,0,1,1
17.5543053150177,17.54420554637909,17.746885061264038,17.480767726898193,1706.36400445,1708.4680785,1754.620972,1668.042786,20.25286420583725,0,1,2
13.02063583135605,13.019123554229736,13.195986032485962,12.873602628707886,1690.4557219499998,1659.790527,1782.968018,1654.058105,15.56602920293808,0,1,3
10.454688847064972,10.44615912437439,10.537916660308838,10.37820553779602,1678.18014525,1664.1940005,1731.756958,1643.408508,12.894715166091919,0,1,4
8.971275043487548,8.974573850631714,9.032894849777222,8.89456057548523,1639.8525451500002,1626.387024,1730.143066,1612.22583,11.40188376903534,0,1,5
7.960482633113861,7.957725882530212,8.063483953475952,7.888454914093018,1598.6319122500001,1586.8656615,1678.615051,1575.213379,10.314073491096497,0,1,6
7.199922394752503,7.201378107070923,7.275797605514526,7.1312477588653564,1520.4169495,1509.8696595000001,1622.484436,1492.49292,9.560513997077942,0,1,7
30.04303252696991,22.500786662101746,41.481116771698,22.269566535949707,1779.4086486499996,1757.9150695,1935.846985,1696.196106,32.82491978406906,0,2,0
21.454323494434355,21.446834087371826,21.580716848373413,21.38026261329651,1754.3524169999996,1756.184906,1824.50293,1707.9375,24.150974762439727,0,2,1
14.911773478984832,14.919450879096985,15.023520708084106,14.788112163543701,1670.5106567000003,1648.0036315,1751.370544,1637.875549,17.460155880451204,0,2,2
11.344261133670807,11.35109555721283,11.414309978485107,11.253292798995972,1655.1111480999996,1644.2973634999998,1715.693665,1622.273621,13.798000502586365,0,2,3
9.531666886806487,9.53346049785614,9.609309911727905,9.450490951538086,1672.6901396999997,1662.739624,1730.820923,1648.658386,11.95093913078308,0,2,4
8.348359370231629,8.349549770355225,8.436257362365723,8.290921688079834,1623.10768125,1611.7583005000001,1707.22699,1598.062439,10.7217240691185,0,2,5
7.508816766738891,7.5030893087387085,7.568202495574951,7.471614837646484,1539.1784515499999,1532.4777225,1588.729614,1516.963318,9.869823563098908,0,2,6
19.09378660917282,19.115395188331604,19.61494207382202,18.71887707710266,1676.2292662500004,1677.255188,1743.864075,1627.938354,21.72428078651428,0,3,0
17.951141905784606,17.943464517593384,18.04485511779785,17.85860824584961,1712.3134124999997,1712.1058655,1855.801697,1661.337463,20.636664152145386,0,3,1
12.854322862625121,12.851266860961914,12.973962306976318,12.769639492034912,1713.6439513499997,1690.8928525000001,1794.940857,1671.240417,15.371718716621398,0,3,2
10.470789241790772,10.47623324394226,10.588627099990845,10.36301302909851,1704.7808654,1693.484436,1749.170227,1679.563171,12.89652498960495,0,3,3
8.959869396686553,8.96480107307434,9.006429195404053,8.908233165740967,1675.8117493000002,1668.026184,1741.665344,1647.158386,11.335946357250213,0,3,4
7.995406544208526,7.992234826087952,8.054547786712646,7.919693231582642,1581.0651947000001,1572.8523255,1677.648315,1557.847229,10.349136388301849,0,3,5
16.159226953983307,16.156604647636414,16.481804609298706,15.901242971420288,1634.33793945,1610.7750545,1712.528076,1595.709961,18.702322494983672,0,4,0
14.15369039773941,14.13356339931488,14.355703115463257,14.008488655090332,1713.39911205,1695.022736,1797.148315,1680.613159,16.67376866340637,0,4,1
11.4613898396492,11.462567806243896,11.656264543533325,11.360721588134766,1712.6037841499997,1693.8165585,1793.986755,1683.182617,13.939301455020905,0,4,2
9.527921974658966,9.527618050575256,9.595327377319336,9.451679944992065,1737.7868989000003,1727.343811,1797.036194,1719.001099,11.956699323654174,0,4,3
8.37587548494339,8.363282322883606,8.542985916137695,8.319557905197144,1656.2996581,1649.4433895,1721.361938,1622.820312,10.72697823047638,0,4,4
13.501741373538971,13.430703163146973,14.041515111923218,12.983235120773315,1630.51709905,1615.361572,1712.77887,1589.647461,16.01451892852783,0,5,0
12.448778283596038,12.45385217666626,12.591416358947754,12.283288717269897,1726.16389475,1719.187897,1783.072327,1691.278381,14.879932188987732,0,5,1
10.278062629699708,10.284326434135437,10.364134311676025,10.188401460647583,1738.33533925,1721.7146914999998,1818.554993,1700.833801,12.710985481739044,0,5,2
